DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200002001,3520005,Toronto,535.0,Toronto,35,ON,0.055578335,0.127103354,0.048263389,0.025643551,0.24286553,0.033211795,8.57345,10.93495,11.71938333
35200002002,3520005,Toronto,535.0,Toronto,35,ON,0.054317534,0.126142471,0.047081191,0.025505097,0.240357832,0.033016591,8.577066667,11.09195,11.87636667
35200002003,3520005,Toronto,535.0,Toronto,35,ON,0.059930162,0.134846029,0.050880694,0.026314308,0.245673013,0.03488107,7.5311,10.61711667,10.97058333
35200003001,3520005,Toronto,535.0,Toronto,35,ON,0.057441841,0.125234167,0.050800928,0.026320554,0.24959338,0.035771006,9.552166667,10.17928333,10.9637
35200004001,3520005,Toronto,535.0,Toronto,35,ON,0.057683905,0.131287058,0.050078455,0.02676569,0.249014927,0.034514202,9.065833333,10.1239,10.47735
35200004002,3520005,Toronto,535.0,Toronto,35,ON,0.058404549,0.134390148,0.050637223,0.027026224,0.256295456,0.035566501,8.7849,9.842983333,10.19643333
35200005001,3520005,Toronto,535.0,Toronto,35,ON,0.06844909,0.15111908,0.058963601,0.027526591,0.290582322,0.039906154,8.2529,8.7079,9.664433333
35200005002,3520005,Toronto,535.0,Toronto,35,ON,0.065507103,0.148049818,0.06221775,0.027154513,0.288232607,0.03975925,8.3784,8.647566667,10.0591
35200006001,3520005,Toronto,535.0,Toronto,35,ON,0.061614231,0.140202243,0.054719823,0.026638059,0.271264292,0.036964166,8.9384,9.20445,10.61596667
35200007001,3520005,Toronto,535.0,Toronto,35,ON,0.067093324,0.144672135,0.067457379,0.027299442,0.279566131,0.039393422,7.959666667,9.6519,9.872983333
35200007002,3520005,Toronto,535.0,Toronto,35,ON,0.068528567,0.154234906,0.067999902,0.027465846,0.286204238,0.039710248,7.78345,9.475666667,9.69675
35200009001,3520005,Toronto,535.0,Toronto,35,ON,0.082503035,0.174502344,0.075394266,0.029906334,0.331327472,0.044960052,6.71995,7.036466667,7.269816667
35200010001,3520005,Toronto,535.0,Toronto,35,ON,0.083286128,0.177256587,0.079106727,0.02985473,0.341916118,0.043821833,6.64005,7.116366667,7.3099
35200010002,3520005,Toronto,535.0,Toronto,35,ON,0.085104612,0.184595389,0.084871216,0.030357699,0.343915716,0.047803294,6.339016667,6.79365,7.517433333
35200012001,3520005,Toronto,535.0,Toronto,35,ON,0.079700663,0.187508247,0.090398869,0.031539671,0.376902072,0.056646331,5.685966667,6.169783333,6.40975
35200012002,3520005,Toronto,535.0,Toronto,35,ON,0.078213862,0.181002227,0.085953636,0.031657202,0.365985343,0.056234146,5.5681,6.291883333,6.462016667
35200012003,3520005,Toronto,535.0,Toronto,35,ON,0.082773629,0.18616064,0.077960402,0.032590239,0.376779344,0.054213622,4.725733333,5.449516667,7.234383333
35200013001,3520005,Toronto,535.0,Toronto,35,ON,0.077332259,0.170774758,0.085951149,0.031807767,0.358955649,0.053070185,5.4305,6.154283333,6.778283333
35200013003,3520005,Toronto,535.0,Toronto,35,ON,0.08038408,0.17950657,0.08474789,0.031938245,0.376537497,0.053918492,5.311783333,6.035566667,6.683333333
35200018003,3520005,Toronto,535.0,Toronto,35,ON,0.082441849,0.204552822,0.085450308,0.034662354,0.378280169,0.059246035,2.887083333,3.610866667,5.37845
35200028001,3520005,Toronto,535.0,Toronto,35,ON,0.083862158,0.192787006,0.083065933,0.032200864,0.378546003,0.056860226,5.49225,5.749083333,6.682683333
35200028003,3520005,Toronto,535.0,Toronto,35,ON,0.081948175,0.186012328,0.078586005,0.032075617,0.36236086,0.056411496,5.742383333,5.8621,6.7957
35200028004,3520005,Toronto,535.0,Toronto,35,ON,0.087360538,0.209335177,0.094565191,0.032478556,0.401546564,0.061062923,5.603266667,5.684333333,5.831916667
35200028006,3520005,Toronto,535.0,Toronto,35,ON,0.086830922,0.198106941,0.087624452,0.033724568,0.397417256,0.062213902,5.341933333,5.423016667,6.039216667
35200028007,3520005,Toronto,535.0,Toronto,35,ON,0.085677544,0.202490227,0.087710286,0.032336243,0.394260223,0.060707145,5.656483333,5.73755,5.949266667
35200028008,3520005,Toronto,535.0,Toronto,35,ON,0.087255199,0.199382102,0.085701971,0.033785017,0.399685009,0.061416658,5.289983333,5.371066667,6.7097
35200028009,3520005,Toronto,535.0,Toronto,35,ON,0.086315185,0.197889192,0.087738596,0.033818197,0.404093457,0.062198536,5.261516667,5.3426,6.116666667
35200028010,3520005,Toronto,535.0,Toronto,35,ON,0.087261612,0.199110312,0.087975438,0.033863396,0.405037675,0.062406258,5.2228,5.303883333,6.014083333
35200029002,3520005,Toronto,535.0,Toronto,35,ON,0.080822448,0.187818128,0.076274064,0.033144608,0.372811334,0.055750161,5.10955,5.844966667,6.292583333
35200029003,3520005,Toronto,535.0,Toronto,35,ON,0.082595829,0.189480913,0.080539689,0.031890923,0.362946028,0.055112484,5.616716667,5.755133333,6.963166667
