DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200002001,3520005,Toronto,535.0,Toronto,35,ON,0.083536711,0.183891268,0.064582153,0.015090219,0.256010117,0.044449654,26.0,28.0,32.0
35200002002,3520005,Toronto,535.0,Toronto,35,ON,0.079877107,0.177506472,0.061680186,0.014923228,0.246538205,0.043074535,27.0,28.0,32.0
35200002003,3520005,Toronto,535.0,Toronto,35,ON,0.098180021,0.210410618,0.074611664,0.018916816,0.285375858,0.049871755,21.0,27.0,30.0
35200003001,3520005,Toronto,535.0,Toronto,35,ON,0.084559059,0.185076046,0.066025825,0.015487567,0.259401565,0.046727259,24.0,27.0,30.0
35200004001,3520005,Toronto,535.0,Toronto,35,ON,0.089578364,0.194590447,0.068670871,0.01800067,0.269116481,0.046462868,24.0,28.0,31.0
35200004002,3520005,Toronto,535.0,Toronto,35,ON,0.091985761,0.198312891,0.072270844,0.018357249,0.280276446,0.04799493,24.0,27.0,30.0
35200005001,3520005,Toronto,535.0,Toronto,35,ON,0.103992772,0.219032736,0.080295263,0.021844594,0.302992258,0.053508873,21.0,26.0,29.0
35200005002,3520005,Toronto,535.0,Toronto,35,ON,0.099505495,0.210199727,0.07890818,0.021470218,0.29712491,0.0530072,23.0,25.0,29.0
35200006001,3520005,Toronto,535.0,Toronto,35,ON,0.084551742,0.18632179,0.065435417,0.015446798,0.260613006,0.045092881,26.0,28.0,31.0
35200007001,3520005,Toronto,535.0,Toronto,35,ON,0.098153983,0.207444129,0.079507663,0.019112153,0.294816122,0.055103469,23.0,25.0,27.0
35200007002,3520005,Toronto,535.0,Toronto,35,ON,0.101261495,0.212567306,0.082537268,0.019603774,0.302695036,0.057442133,22.0,25.0,26.0
35200009001,3520005,Toronto,535.0,Toronto,35,ON,0.117884545,0.239071383,0.098347082,0.024134738,0.341840133,0.072756849,16.0,20.0,24.0
35200010001,3520005,Toronto,535.0,Toronto,35,ON,0.122731744,0.247609376,0.102804748,0.024307587,0.353211091,0.077112561,15.0,19.0,24.0
35200010002,3520005,Toronto,535.0,Toronto,35,ON,0.118346468,0.236822785,0.099494252,0.023967748,0.341266045,0.073500774,16.0,20.0,23.0
35200012001,3520005,Toronto,535.0,Toronto,35,ON,0.12064994,0.237584041,0.099519447,0.024876883,0.334508432,0.072903996,18.0,21.0,22.0
35200012002,3520005,Toronto,535.0,Toronto,35,ON,0.129266875,0.247387691,0.104860281,0.026303395,0.347948548,0.074777946,16.0,18.0,21.0
35200012003,3520005,Toronto,535.0,Toronto,35,ON,0.120642213,0.236558838,0.100014462,0.02243648,0.332404433,0.071373113,17.0,17.0,22.0
35200013001,3520005,Toronto,535.0,Toronto,35,ON,0.11636959,0.230530137,0.097122302,0.024234685,0.325845871,0.070647229,18.0,19.0,23.0
35200013003,3520005,Toronto,535.0,Toronto,35,ON,0.112072286,0.222310694,0.093287602,0.021525416,0.315300559,0.067201792,19.0,19.0,24.0
35200018003,3520005,Toronto,535.0,Toronto,35,ON,0.138033642,0.264850968,0.11472917,0.030386826,0.366829565,0.082921108,10.0,17.0,20.0
35200028001,3520005,Toronto,535.0,Toronto,35,ON,0.132043825,0.248611261,0.105102087,0.025659899,0.34780054,0.074966879,15.0,20.0,21.0
35200028003,3520005,Toronto,535.0,Toronto,35,ON,0.114086609,0.222823023,0.091974066,0.021561718,0.313806174,0.065813582,18.0,22.0,23.0
35200028004,3520005,Toronto,535.0,Toronto,35,ON,0.119906288,0.232198569,0.096479722,0.022939879,0.327202495,0.069182652,16.0,19.0,24.0
35200028006,3520005,Toronto,535.0,Toronto,35,ON,0.133559645,0.254397282,0.109856843,0.027136459,0.354947684,0.07798191,15.0,16.0,21.0
35200028007,3520005,Toronto,535.0,Toronto,35,ON,0.12042366,0.232464014,0.097292958,0.022939879,0.328974871,0.069761919,16.0,18.0,23.0
