DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5,acs_idx_caf
35200002001,3520005,Toronto,535.0,Toronto,35,ON,0.086102467,0.18672855,0.066654253,0.016697234,0.258323719,24.0,26.0,29.0,0.048206253
35200002002,3520005,Toronto,535.0,Toronto,35,ON,0.081023556,0.178557102,0.063331558,0.016131281,0.24667424,25.0,27.0,30.0,0.045842608
35200002003,3520005,Toronto,535.0,Toronto,35,ON,0.099723821,0.211594459,0.076551582,0.017896697,0.2860055,22.0,24.0,28.0,0.054446402
35200003001,3520005,Toronto,535.0,Toronto,35,ON,0.075469802,0.169647775,0.058981619,0.013188593,0.233230807,27.0,28.0,31.0,0.042437596
35200004001,3520005,Toronto,535.0,Toronto,35,ON,0.090850629,0.196590078,0.069605946,0.017116679,0.26795121,24.0,25.0,29.0,0.04950907
35200004002,3520005,Toronto,535.0,Toronto,35,ON,0.089092025,0.193392748,0.068740312,0.017026618,0.26942155,24.0,26.0,30.0,0.048240004
35200005001,3520005,Toronto,535.0,Toronto,35,ON,0.10058199,0.213957629,0.078359969,0.018242306,0.293107824,22.0,24.0,28.0,0.055083783
35200005002,3520005,Toronto,535.0,Toronto,35,ON,0.101969851,0.215254772,0.080797988,0.018517039,0.296728297,21.0,23.0,26.0,0.058382711
35200006001,3520005,Toronto,535.0,Toronto,35,ON,0.085369488,0.186434321,0.066420717,0.016697234,0.258261583,24.0,26.0,29.0,0.048072915
35200007001,3520005,Toronto,535.0,Toronto,35,ON,0.094070429,0.202007603,0.075700676,0.017917754,0.281551392,22.0,25.0,26.0,0.055825582
35200007002,3520005,Toronto,535.0,Toronto,35,ON,0.098308426,0.208719409,0.07896011,0.018546384,0.29114447,21.0,25.0,25.0,0.058793798
35200009001,3520005,Toronto,535.0,Toronto,35,ON,0.115421479,0.233930214,0.093928666,0.020972828,0.331168489,17.0,19.0,24.0,0.071620582
35200010001,3520005,Toronto,535.0,Toronto,35,ON,0.118798602,0.239928535,0.097922404,0.021079835,0.339140024,16.0,19.0,23.0,0.07591276
35200010002,3520005,Toronto,535.0,Toronto,35,ON,0.11698843,0.234668658,0.096982746,0.020861212,0.333841615,16.0,19.0,23.0,0.075126423
35200012001,3520005,Toronto,535.0,Toronto,35,ON,0.11766724,0.232534448,0.096286293,0.021137712,0.325412222,18.0,20.0,21.0,0.071382647
35200012002,3520005,Toronto,535.0,Toronto,35,ON,0.123926812,0.238127838,0.099455514,0.02247352,0.328433367,16.0,17.0,21.0,0.072478377
35200012003,3520005,Toronto,535.0,Toronto,35,ON,0.116502652,0.229334925,0.095194414,0.022183155,0.316619417,16.0,17.0,21.0,0.069567988
35200013001,3520005,Toronto,535.0,Toronto,35,ON,0.110571088,0.22128366,0.090691972,0.020861212,0.308067392,18.0,18.0,22.0,0.067295186
35200013003,3520005,Toronto,535.0,Toronto,35,ON,0.106153984,0.212926545,0.087170342,0.020704845,0.299223055,18.0,19.0,23.0,0.064870633
35200018003,3520005,Toronto,535.0,Toronto,35,ON,0.137438262,0.260863113,0.112549709,0.027146787,0.354773087,10.0,18.0,20.0,0.083157169
35200028001,3520005,Toronto,535.0,Toronto,35,ON,0.130259516,0.245629351,0.103775828,0.022175554,0.337695837,14.0,20.0,21.0,0.075671866
35200028003,3520005,Toronto,535.0,Toronto,35,ON,0.110652704,0.216705064,0.088716996,0.020421249,0.301509728,18.0,21.0,23.0,0.064724868
35200028004,3520005,Toronto,535.0,Toronto,35,ON,0.114300008,0.223510651,0.091111473,0.021879312,0.308524979,16.0,19.0,24.0,0.066147366
35200028006,3520005,Toronto,535.0,Toronto,35,ON,0.128332686,0.246203776,0.103887355,0.026426486,0.333502102,14.0,15.0,21.0,0.075307219
35200028007,3520005,Toronto,535.0,Toronto,35,ON,0.116016691,0.225566182,0.092444479,0.022350687,0.311559414,16.0,17.0,23.0,0.067380433
35200028008,3520005,Toronto,535.0,Toronto,35,ON,0.121734249,0.234228489,0.097018686,0.022646929,0.32095048,15.0,18.0,23.0,0.070616281
35200028009,3520005,Toronto,535.0,Toronto,35,ON,0.127173108,0.244485944,0.102750202,0.025921455,0.331521876,14.0,16.0,21.0,0.074706088
35200028010,3520005,Toronto,535.0,Toronto,35,ON,0.123435111,0.23847627,0.100281693,0.023639874,0.325123552,15.0,15.0,21.0,0.072760535
35200029002,3520005,Toronto,535.0,Toronto,35,ON,0.128522304,0.245262201,0.10291837,0.023261985,0.336195519,14.0,17.0,21.0,0.074547655
35200029003,3520005,Toronto,535.0,Toronto,35,ON,0.116127952,0.224999158,0.092422733,0.021137712,0.311565183,17.0,21.0,23.0,0.067285202
35200029004,3520005,Toronto,535.0,Toronto,35,ON,0.124187653,0.237368474,0.098792557,0.022646929,0.32626174,15.0,17.0,22.0,0.071935431
35200030001,3520005,Toronto,535.0,Toronto,35,ON,0.107212417,0.215136467,0.088553824,0.020704845,0.303132155,18.0,19.0,22.0,0.065255939
35200030002,3520005,Toronto,535.0,Toronto,35,ON,0.101856357,0.205786944,0.084014466,0.022513801,0.28828171,16.0,19.0,23.0,0.061109271
35200031001,3520005,Toronto,535.0,Toronto,35,ON,0.111748913,0.224882774,0.092585873,0.02131661,0.317133962,19.0,19.0,22.0,0.069215465
35200032001,3520005,Toronto,535.0,Toronto,35,ON,0.120666066,0.240196546,0.102198331,0.023911234,0.3435003,15.0,18.0,23.0,0.078999482
35200032002,3520005,Toronto,535.0,Toronto,35,ON,0.120536699,0.23986859,0.1021837,0.023911234,0.342849973,15.0,19.0,23.0,0.078683715
35200033001,3520005,Toronto,535.0,Toronto,35,ON,0.147696581,0.278480466,0.125411164,0.029632077,0.385475026,0.0,10.0,21.0,0.093073409
35200034002,3520005,Toronto,535.0,Toronto,35,ON,0.12734549,0.24957433,0.109190831,0.027784505,0.345773854,7.0,12.0,24.0,0.082923893
35200034007,3520005,Toronto,535.0,Toronto,35,ON,0.134018707,0.259305704,0.114732717,0.027874565,0.360149385,5.0,10.0,23.0,0.08671577
35200035002,3520005,Toronto,535.0,Toronto,35,ON,0.126201521,0.248105674,0.106366297,0.027967337,0.340167739,10.0,13.0,22.0,0.077160468
35200035003,3520005,Toronto,535.0,Toronto,35,ON,0.131415845,0.257306562,0.109322375,0.029150239,0.355664947,10.0,12.0,20.0,0.080397704
35200035004,3520005,Toronto,535.0,Toronto,35,ON,0.124428195,0.245561336,0.102389144,0.025976661,0.336693903,13.0,15.0,21.0,0.075199853
35200035005,3520005,Toronto,535.0,Toronto,35,ON,0.116317521,0.233366033,0.097135333,0.024516459,0.323872997,12.0,14.0,22.0,0.070797335
35200035006,3520005,Toronto,535.0,Toronto,35,ON,0.163557679,0.299089756,0.135632577,0.034715184,0.409985748,5.0,10.0,17.0,0.099986289
35200036001,3520005,Toronto,535.0,Toronto,35,ON,0.131841116,0.257819788,0.108565245,0.028821921,0.350921431,13.0,14.0,20.0,0.07975074
35200036002,3520005,Toronto,535.0,Toronto,35,ON,0.141806487,0.271137326,0.115562931,0.032403152,0.36567539,12.0,15.0,18.0,0.085131771
35200037002,3520005,Toronto,535.0,Toronto,35,ON,0.122452574,0.238386564,0.101385495,0.027447521,0.329147941,13.0,16.0,21.0,0.074193705
35200037003,3520005,Toronto,535.0,Toronto,35,ON,0.113763449,0.223396743,0.09266798,0.02358018,0.308279525,14.0,18.0,21.0,0.0677
35200037004,3520005,Toronto,535.0,Toronto,35,ON,0.115531262,0.22573179,0.09406842,0.02412127,0.313802884,14.0,18.0,20.0,0.068443895
35200037005,3520005,Toronto,535.0,Toronto,35,ON,0.131297091,0.255102466,0.107057123,0.030085943,0.347033225,14.0,17.0,19.0,0.078950272
35200039001,3520005,Toronto,535.0,Toronto,35,ON,0.116543948,0.232129049,0.093453318,0.024765981,0.320157426,18.0,18.0,20.0,0.07013615
35200039002,3520005,Toronto,535.0,Toronto,35,ON,0.129536083,0.253652551,0.105935704,0.029978936,0.346138277,15.0,17.0,19.0,0.077437845
35200039003,3520005,Toronto,535.0,Toronto,35,ON,0.150613506,0.28324582,0.122469125,0.033652809,0.384290143,12.0,15.0,17.0,0.091480293
35200041002,3520005,Toronto,535.0,Toronto,35,ON,0.135312893,0.259191044,0.110288303,0.031054476,0.354064428,14.0,17.0,18.0,0.082425602
35200041003,3520005,Toronto,535.0,Toronto,35,ON,0.146031302,0.272220678,0.118520038,0.034756481,0.370764973,9.0,15.0,17.0,0.089199653
35200041006,3520005,Toronto,535.0,Toronto,35,ON,0.153566709,0.283129461,0.124924687,0.035975884,0.383233034,9.0,14.0,16.0,0.093925592
35200042002,3520005,Toronto,535.0,Toronto,35,ON,0.151094958,0.278308277,0.122999176,0.032172372,0.376223226,7.0,14.0,18.0,0.095191897
35200042005,3520005,Toronto,535.0,Toronto,35,ON,0.161210697,0.297648201,0.132861549,0.034876628,0.403692207,9.0,12.0,17.0,0.098864136
35200042006,3520005,Toronto,535.0,Toronto,35,ON,0.155412117,0.283158822,0.125722499,0.032272249,0.382780939,0.0,14.0,18.0,0.09513289
35200043001,3520005,Toronto,535.0,Toronto,35,ON,0.160070829,0.292696407,0.130717041,0.034851405,0.396562389,2.0,13.0,18.0,0.0986133
35200043002,3520005,Toronto,535.0,Toronto,35,ON,0.14161154,0.265840421,0.115790323,0.03108189,0.359148016,8.0,15.0,19.0,0.08917252
35200043009,3520005,Toronto,535.0,Toronto,35,ON,0.167892398,0.303898069,0.141058668,0.039533049,0.394890118,17.0,21.0,23.0,0.103798326
35200043010,3520005,Toronto,535.0,Toronto,35,ON,0.203705528,0.352181181,0.169449883,0.050389674,0.457136271,15.0,15.0,17.0,0.130114964
35200043011,3520005,Toronto,535.0,Toronto,35,ON,0.130701961,0.248102028,0.107350934,0.029675078,0.333947621,7.0,18.0,21.0,0.080000954
35200043012,3520005,Toronto,535.0,Toronto,35,ON,0.160139247,0.290912815,0.132642348,0.036760025,0.38354703,14.0,16.0,22.0,0.104715439
35200043013,3520005,Toronto,535.0,Toronto,35,ON,0.196754831,0.344674092,0.16289425,0.045607792,0.447703153,13.0,17.0,19.0,0.121661373
35200044001,3520005,Toronto,535.0,Toronto,35,ON,0.1419248,0.263199835,0.115343464,0.033285358,0.349850921,15.0,19.0,21.0,0.10081023
35200046002,3520005,Toronto,535.0,Toronto,35,ON,0.163423328,0.296289313,0.135660209,0.039241997,0.390867451,1.0,19.0,19.0,0.100877831
35200046003,3520005,Toronto,535.0,Toronto,35,ON,0.171452864,0.307964112,0.142211167,0.04061877,0.404824254,0.0,19.0,19.0,0.10591725
35200046004,3520005,Toronto,535.0,Toronto,35,ON,0.198049833,0.345007613,0.163947486,0.047149893,0.451301415,7.0,15.0,16.0,0.121445897
35200047001,3520005,Toronto,535.0,Toronto,35,ON,0.190044649,0.338048564,0.153355638,0.040787872,0.432005027,13.0,20.0,20.0,0.11280622
35200047002,3520005,Toronto,535.0,Toronto,35,ON,0.190425767,0.3360643,0.156380132,0.045737069,0.436966136,9.0,16.0,16.0,0.116591071
