DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRCODE,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200002001,3520005,Toronto,535.0,Toronto,35,ON,0.017630648,0.086691043,0.013077021,0.0,0.111788056,0.0,1000.0,1000.0,1000.0
35200002002,3520005,Toronto,535.0,Toronto,35,ON,0.018407277,0.088470154,0.01298403,0.0,0.158865565,0.0,1000.0,1000.0,1000.0
35200002003,3520005,Toronto,535.0,Toronto,35,ON,0.019204744,0.093430053,0.0,0.0,0.180977145,0.0,7.5311,1000.0,1000.0
35200003001,3520005,Toronto,535.0,Toronto,35,ON,0.023418364,0.09892522,0.012734741,0.0,0.164619346,0.0,1000.0,1000.0,1000.0
35200004001,3520005,Toronto,535.0,Toronto,35,ON,0.024194292,0.099007933,0.007350445,0.0,0.194476187,0.002867071,9.065833333,1000.0,1000.0
35200004002,3520005,Toronto,535.0,Toronto,35,ON,0.024259969,0.100588396,0.012574519,0.0,0.19745062,0.0,8.7849,1000.0,1000.0
35200005001,3520005,Toronto,535.0,Toronto,35,ON,0.026102537,0.110106571,0.019811721,0.0,0.182668331,0.003032403,8.2529,1000.0,1000.0
35200005002,3520005,Toronto,535.0,Toronto,35,ON,0.026281051,0.109774835,0.01946337,0.0,0.183653896,0.002950979,8.647566667,1000.0,1000.0
35200006001,3520005,Toronto,535.0,Toronto,35,ON,0.025353785,0.106635052,0.012193728,0.0,0.176701865,0.0,1000.0,1000.0,1000.0
35200007001,3520005,Toronto,535.0,Toronto,35,ON,0.029986021,0.120204421,0.018764946,0.0,0.205992541,0.002982563,7.959666667,1000.0,1000.0
35200007002,3520005,Toronto,535.0,Toronto,35,ON,0.030539783,0.1223759,0.018915863,0.0,0.208511294,0.00301903,7.78345,1000.0,1000.0
35200009001,3520005,Toronto,535.0,Toronto,35,ON,0.039804356,0.150638646,0.025018706,0.0,0.315131001,0.003579385,6.71995,7.269816667,7.9936
35200010001,3520005,Toronto,535.0,Toronto,35,ON,0.039527225,0.151516962,0.024969298,0.0,0.314840805,0.003567039,6.64005,7.3099,8.033683333
35200010002,3520005,Toronto,535.0,Toronto,35,ON,0.042161895,0.151572084,0.025549628,0.0,0.329515296,0.003688245,6.339016667,6.79365,7.517433333
35200012001,3520005,Toronto,535.0,Toronto,35,ON,0.044945742,0.152142303,0.026868961,0.0,0.315448442,0.003981034,5.685966667,6.169783333,6.40975
35200012002,3520005,Toronto,535.0,Toronto,35,ON,0.045878123,0.151577082,0.027009137,0.0,0.325535815,0.004010764,5.5681,6.291883333,6.462016667
35200012003,3520005,Toronto,535.0,Toronto,35,ON,0.045376034,0.161251108,0.028063347,0.0,0.361714203,0.004250662,4.725733333,5.449516667,7.234383333
35200013001,3520005,Toronto,535.0,Toronto,35,ON,0.044437346,0.153297806,0.027178596,0.0,0.335573343,0.004049006,5.4305,6.154283333,6.778283333
35200013003,3520005,Toronto,535.0,Toronto,35,ON,0.045227493,0.157715229,0.027325654,0.0,0.354714097,0.004082292,5.311783333,6.035566667,6.683333333
35200018003,3520005,Toronto,535.0,Toronto,35,ON,0.041391647,0.161434825,0.039986896,0.0,0.344501267,0.005645201,2.887083333,3.610866667,5.37845
35200028001,3520005,Toronto,535.0,Toronto,35,ON,0.04814264,0.151972363,0.043078075,0.0,0.347838258,0.004149703,5.49225,5.749083333,6.682683333
35200028003,3520005,Toronto,535.0,Toronto,35,ON,0.045536142,0.146778328,0.042758401,0.0,0.355239914,0.004117485,5.742383333,5.8621,6.7957
35200028004,3520005,Toronto,535.0,Toronto,35,ON,0.04378412,0.153085254,0.044356559,0.0,0.357526207,0.004470412,5.603266667,5.684333333,5.831916667
35200028006,3520005,Toronto,535.0,Toronto,35,ON,0.044897594,0.157474445,0.052386427,0.0,0.351872612,0.004551707,5.341933333,5.423016667,6.039216667
35200028007,3520005,Toronto,535.0,Toronto,35,ON,0.046477201,0.156829941,0.044200719,0.0,0.369901429,0.004454035,5.656483333,5.73755,5.949266667
35200028008,3520005,Toronto,535.0,Toronto,35,ON,0.047959535,0.160939267,0.044096696,0.0,0.371929302,0.004568044,5.289983333,5.371066667,6.7097
35200028009,3520005,Toronto,535.0,Toronto,35,ON,0.044915659,0.163061138,0.052459103,0.0,0.379171717,0.004577021,5.261516667,5.3426,6.116666667
35200028010,3520005,Toronto,535.0,Toronto,35,ON,0.045134227,0.158982973,0.052599686,0.0,0.380550582,0.004589259,5.2228,5.303883333,6.014083333
35200029002,3520005,Toronto,535.0,Toronto,35,ON,0.047596963,0.15316591,0.027957031,0.0,0.364979589,0.004396507,5.10955,5.844966667,6.292583333
35200029003,3520005,Toronto,535.0,Toronto,35,ON,0.047636063,0.151810675,0.042864104,0.0,0.344487877,0.004070204,5.616716667,5.755133333,6.963166667
35200029004,3520005,Toronto,535.0,Toronto,35,ON,0.047647958,0.157409249,0.043468232,0.0,0.36390443,0.004309773,5.027233333,6.10105,6.133883333
35200030001,3520005,Toronto,535.0,Toronto,35,ON,0.042549489,0.136731815,0.042322436,0.0,0.291680864,0.004038278,5.545483333,7.07735,7.158433333
35200030002,3520005,Toronto,535.0,Toronto,35,ON,0.039096553,0.126151704,0.042095741,0.0,0.2671813,0.003745802,4.837283333,7.938866667,8.1675
35200031001,3520005,Toronto,535.0,Toronto,35,ON,0.040882398,0.13573921,0.041373211,0.0,0.252409005,0.003863185,5.08,7.720083333,7.801166667
35200032001,3520005,Toronto,535.0,Toronto,35,ON,0.03989983,0.11650458,0.041409089,0.0,0.228498455,0.00357987,4.421583333,7.830633333,9.453183333
35200032002,3520005,Toronto,535.0,Toronto,35,ON,0.040487205,0.117804822,0.041360956,0.0,0.227058196,0.003557302,4.350733333,7.922333333,1000.0
35200033001,3520005,Toronto,535.0,Toronto,35,ON,0.041215804,0.083698307,0.04345289,0.0,0.305616284,0.003376945,0.0,2.395933333,6.816766667
35200034002,3520005,Toronto,535.0,Toronto,35,ON,0.039298029,0.07894596,0.042144308,0.0,0.270619901,0.003066958,2.28705,5.9054,11.14785
35200034007,3520005,Toronto,535.0,Toronto,35,ON,0.036682646,0.075258467,0.028504949,0.0,0.274069229,0.003109869,6.00135,1000.0,1000.0
35200035002,3520005,Toronto,535.0,Toronto,35,ON,0.039831349,0.077185882,0.042020108,0.0,0.326858035,0.003306472,4.10385,5.311633333,9.345633333
35200035003,3520005,Toronto,535.0,Toronto,35,ON,0.040813255,0.077956545,0.041164096,0.0,0.318124833,0.028368129,4.794183333,5.3413,9.375316667
35200035004,3520005,Toronto,535.0,Toronto,35,ON,0.042375088,0.083693529,0.042880292,0.0,0.333702869,0.030922517,4.167483333,4.542016667,8.2015
35200035005,3520005,Toronto,535.0,Toronto,35,ON,0.041289596,0.077245682,0.041803404,0.0,0.325651148,0.003227334,4.455133333,5.00225,9.036266667
35200035006,3520005,Toronto,535.0,Toronto,35,ON,0.040806598,0.084832105,0.043464742,0.0,0.325298589,0.003566178,3.30155,5.898583333,8.961133333
35200036001,3520005,Toronto,535.0,Toronto,35,ON,0.042609338,0.0872292,0.049122401,0.0,0.307089363,0.030427737,4.401366667,5.448416667,8.435383333
35200036002,3520005,Toronto,535.0,Toronto,35,ON,0.038305403,0.086853004,0.060654509,0.068113445,0.302209013,0.0341839,4.633666667,5.6807,8.667666667
35200037002,3520005,Toronto,535.0,Toronto,35,ON,0.040208297,0.105350416,0.043054526,0.0,0.300290792,0.003815648,4.027016667,6.306916667,7.899616667
35200037003,3520005,Toronto,535.0,Toronto,35,ON,0.043923214,0.140498775,0.04355452,0.0,0.304472826,0.004199747,5.427683333,6.283933333,6.508883333
35200037004,3520005,Toronto,535.0,Toronto,35,ON,0.044094586,0.146516529,0.043531946,0.0,0.357631854,0.00417941,5.347916667,6.036033333,6.579266667
